SalesOrderID,OrderDate,DueDate,ShipDate,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,SalesPersonID,SubTotal,Freight,TotalDue
43870,12-08-2017,18-08-2017,16-08-2017,SO43870,PO14326149236,10-4020-000107,107,275,4316.99,129.26,4446.25
43871,12-08-2017,18-08-2017,18-08-2017,SO43871,PO13572145817,10-4020-000527,527,281,9398.93,281.23,9680.16
43872,12-08-2017,18-08-2017,21-08-2017,SO43872,PO12557127067,10-4020-000240,240,276,11584.47,347.18,11931.65
43873,13-08-2017,18-08-2017,18-08-2017,SO43873,PO12499138177,10-4020-000078,78,276,41250.48,1241.79,42492.27
43874,14-08-2017,21-08-2017,17-08-2017,SO43874,PO12122162917,10-4020-000022,22,277,419.46,12.58,432.04
43875,14-08-2017,21-08-2017,23-08-2017,SO43875,PO12586178184,10-4020-000278,278,279,121761.685,3709.84,125471.525
43876,14-08-2017,21-08-2017,23-08-2017,SO43876,PO12006119347,10-4020-000270,270,275,7135.27,214.67,7349.94
43877,14-08-2017,21-08-2017,21-08-2017,SO43877,PO11919119101,10-4020-000073,73,280,20628.55,617.85,21246.4
43878,14-08-2017,21-08-2017,18-08-2017,SO43878,PO11716136854,10-4020-000144,144,275,4079.98,122.4,4202.38
43879,15-08-2017,22-08-2017,17-08-2017,SO43879,PO11600128380,10-4020-000569,569,282,21718.7674,652.46,22371.2274
43880,15-08-2017,22-08-2017,24-08-2017,SO43880,PO11020127453,10-4020-000336,336,278,15479.54,465.14,15944.68
43881,15-08-2017,22-08-2017,23-08-2017,SO43881,PO10759119626,10-4020-000346,346,277,38816.8285,1164.29,39981.1185
43882,15-08-2017,22-08-2017,17-08-2017,SO43882,PO10469165208,10-4020-000335,335,282,2024.99,60.75,2085.74
43883,15-08-2017,22-08-2017,24-08-2017,SO43883,PO10121175623,10-4020-000684,684,275,18320.69,550.94,18871.63
43884,16-08-2017,23-08-2017,18-08-2017,SO43884,PO10440182311,10-4020-000623,623,277,115696.1528,3504.8,119200.9528
43885,17-08-2017,24-08-2017,22-08-2017,SO43885,PO609186449,10-4020-000492,492,276,68.4,1.85,70.25
43886,17-08-2017,24-08-2017,28-08-2017,SO43886,PO1827149671,10-4020-000317,317,282,17358.03,520.31,17878.34
43887,18-08-2017,25-08-2017,23-08-2017,SO43887,PO1276169981,10-4020-000548,548,279,419.46,12.58,432.04
43888,18-08-2017,25-08-2017,28-08-2017,SO43888,PO2088113013,10-4020-000136,136,282,14432.8,433.9,14866.7
43889,19-08-2017,25-08-2017,22-08-2017,SO43889,PO2030112412,10-4020-000661,661,278,2082.67,62.31,2144.98
43890,20-08-2017,25-08-2017,29-08-2017,SO43890,PO2146115360,10-4020-000354,354,278,75191.8,2260.72,77452.52
43891,20-08-2017,25-08-2017,24-08-2017,SO43891,PO2726163521,10-4020-000029,29,282,32569.04,976.97,33546.01
43892,20-08-2017,25-08-2017,28-08-2017,SO43892,PO2523117473,10-4020-000167,167,281,16544.56,495.99,17040.55
43893,21-08-2017,28-08-2017,25-08-2017,SO43893,PO2204129382,10-4020-000370,370,282,419.46,12.58,432.04
43894,21-08-2017,28-08-2017,23-08-2017,SO43894,PO2958194987,10-4020-000559,559,280,32492.54,974.6,33467.14
43895,21-08-2017,28-08-2017,25-08-2017,SO43895,PO2900121738,10-4020-000469,469,280,32459.9,975.47,33435.37
43896,22-08-2017,29-08-2017,30-08-2017,SO43896,PO3857154341,10-4020-000256,256,277,4345.83,130.04,4475.87
43897,22-08-2017,29-08-2017,25-08-2017,SO43897,PO3799116239,10-4020-000312,312,276,51234.96,1535.29,52770.25
43898,22-08-2017,29-08-2017,31-08-2017,SO43898,PO4901196283,10-4020-000084,84,278,50949.0316,1533.93,52482.9616
43899,23-08-2017,30-08-2017,31-08-2017,SO43899,PO5191115657,10-4020-000364,364,277,11942.58,358.7,12301.28
43900,23-08-2017,30-08-2017,01-09-2017,SO43900,PO5568199700,10-4020-000422,422,279,34628.23,1038.65,35666.88
43901,24-08-2017,31-08-2017,01-09-2017,SO43901,PO5684189260,10-4020-000385,385,276,22717.57,680.33,23397.9
43902,24-08-2017,31-08-2017,29-08-2017,SO43902,PO5858178400,10-4020-000566,566,279,52803.34,1591.18,54394.52
43903,25-08-2017,01-09-2017,30-08-2017,SO43903,PO5800178059,10-4020-000063,63,279,20.19,0.5,20.69
43904,25-08-2017,01-09-2017,31-08-2017,SO43904,PO6351158788,10-4020-000255,255,277,11361.27,341.74,11703.01
43905,26-08-2017,01-09-2017,01-09-2017,SO43905,PO6293113391,10-4020-000612,612,279,9880.27,297.17,10177.44
43906,26-08-2017,01-09-2017,01-09-2017,SO43906,PO6438197212,10-4020-000309,309,277,32971.29,988.17,33959.46
43907,26-08-2017,01-09-2017,31-08-2017,SO43907,PO6641115253,10-4020-000342,342,275,14660.34,439.93,15100.27
43908,26-08-2017,01-09-2017,05-09-2017,SO43908,PO6670111729,10-4020-000432,432,275,2561.54,76.98,2638.52
43909,27-08-2017,01-09-2017,04-09-2017,SO43909,PO7221199520,10-4020-000326,326,283,25493.26,769.1,26262.36
43910,27-08-2017,01-09-2017,29-08-2017,SO43910,PO7598186753,10-4020-000045,45,279,19411.93,583.56,19995.49
43911,28-08-2017,04-09-2017,05-09-2017,SO43911,PO7627190040,10-4020-000433,433,280,19734.89,592.7,20327.59
43912,29-08-2017,05-09-2017,01-09-2017,SO43912,PO7656175368,10-4020-000403,403,276,13078.28,393.42,13471.7
43913,29-08-2017,05-09-2017,05-09-2017,SO43913,PO7830112696,10-4020-000040,40,277,36724.06,1100.72,37824.78
43914,29-08-2017,05-09-2017,04-09-2017,SO43914,PO7917120732,10-4020-000401,401,281,8152.76,244.52,8397.28
43915,30-08-2017,06-09-2017,06-09-2017,SO43915,PO8932129717,10-4020-000287,287,275,4049.98,121.5,4171.48
43916,30-08-2017,06-09-2017,06-09-2017,SO43916,PO8874186100,10-4020-000348,348,276,39450.74,1184,40634.74
43917,30-08-2017,06-09-2017,06-09-2017,SO43917,PO8816199739,10-4020-000218,218,283,21356.15,640.88,21997.03
44074,01-09-2017,08-09-2017,08-09-2017,SO44074,PO20213115982,10-4020-000216,216,275,844.11,25.31,869.42
44075,01-09-2017,08-09-2017,06-09-2017,SO44075,PO20155139653,10-4020-000092,92,283,26446.97,793.36,27240.33
44076,02-09-2017,08-09-2017,07-09-2017,SO44076,PO19720140502,10-4020-000562,562,277,4079.98,122.4,4202.38
44077,02-09-2017,08-09-2017,05-09-2017,SO44077,PO19401178507,10-4020-000173,173,282,6105.33,182.77,6288.1
44078,02-09-2017,08-09-2017,11-09-2017,SO44078,PO19169159771,10-4020-000272,272,283,28045.27,844.43,28889.7
44079,02-09-2017,08-09-2017,12-09-2017,SO44079,PO19488118734,10-4020-000057,57,277,25706.54,771.12,26477.66
44080,03-09-2017,08-09-2017,08-09-2017,SO44080,PO18937118744,10-4020-000439,439,276,11.4,0.31,11.71
44081,04-09-2017,11-09-2017,08-09-2017,SO44081,PO18299115585,10-4020-000118,118,282,37536.93,1128.61,38665.54
44082,04-09-2017,11-09-2017,06-09-2017,SO44082,PO17690137364,10-4020-000047,47,268,2039.99,61.2,2101.19
44083,05-09-2017,12-09-2017,13-09-2017,SO44083,PO17719115878,10-4020-000631,631,278,1362.31,40.67,1402.98
44084,05-09-2017,12-09-2017,11-09-2017,SO44084,PO17835143404,10-4020-000551,551,282,8129.96,243.9,8373.86
44085,05-09-2017,12-09-2017,07-09-2017,SO44085,PO17545192039,10-4020-000155,155,282,20644.27,619.15,21263.42
44086,06-09-2017,13-09-2017,11-09-2017,SO44086,PO17574175064,10-4020-000678,678,282,73761.44,2221.45,75982.89
44087,09-09-2017,15-09-2017,12-09-2017,SO44087,PO16095130285,10-4020-000096,96,276,5007.72,150.83,5158.55
44088,10-09-2017,15-09-2017,15-09-2017,SO44088,PO16269137565,10-4020-000624,624,281,419.46,12.58,432.04
44089,11-09-2017,18-09-2017,14-09-2017,SO44089,PO15950135717,10-4020-000114,114,276,2097.3,62.92,2160.22
44090,11-09-2017,18-09-2017,19-09-2017,SO44090,PO15834170093,10-4020-000417,417,277,6654.72,198.37,6853.09
44091,12-09-2017,19-09-2017,14-09-2017,SO44091,PO15863179138,10-4020-000545,545,281,4492.73,134.1,4626.83
44092,12-09-2017,19-09-2017,19-09-2017,SO44092,PO15167143312,10-4020-000273,273,277,4075.05,123.09,4198.14
44093,13-09-2017,20-09-2017,15-09-2017,SO44093,PO15138128112,10-4020-000093,93,277,10680.75,319.34,11000.09
44094,13-09-2017,20-09-2017,18-09-2017,SO44094,PO14877175150,10-4020-000172,172,282,4079.98,122.4,4202.38
44095,14-09-2017,21-09-2017,25-09-2017,SO44095,PO14964184959,10-4020-000581,581,281,42340.98,1273.32,43614.3
44096,14-09-2017,21-09-2017,25-09-2017,SO44096,PO13920114195,10-4020-000180,180,275,8129.96,243.9,8373.86
44097,14-09-2017,21-09-2017,19-09-2017,SO44097,PO14268131774,10-4020-000418,418,277,6035.86,181,6216.86
44098,14-09-2017,21-09-2017,25-09-2017,SO44098,PO13746121367,10-4020-000567,567,279,16369.227,491.03,16860.257
44099,15-09-2017,22-09-2017,19-09-2017,SO44099,PO13717176693,10-4020-000473,473,281,12499.43,374.9,12874.33
44100,15-09-2017,22-09-2017,26-09-2017,SO44100,PO13543119495,10-4020-000293,293,281,81164.1022,2463.96,83628.0622
44101,16-09-2017,22-09-2017,22-09-2017,SO44101,PO11977181307,10-4020-000675,675,279,9794.64,294.15,10088.79
44102,18-09-2017,25-09-2017,27-09-2017,SO44102,PO11426145969,10-4020-000386,386,279,3513.94,105.17,3619.11
44103,18-09-2017,25-09-2017,27-09-2017,SO44103,PO11107175113,10-4020-000156,156,278,3814.36,114.32,3928.68
44104,18-09-2017,25-09-2017,22-09-2017,SO44104,PO10585171940,10-4020-000498,498,278,4079.98,122.4,4202.38
44105,18-09-2017,25-09-2017,22-09-2017,SO44105,PO10382117173,10-4020-000453,453,277,6101.37,183.01,6284.38
44106,19-09-2017,26-09-2017,28-09-2017,SO44106,PO319178820,10-4020-000116,116,279,419.46,12.58,432.04
44107,20-09-2017,27-09-2017,26-09-2017,SO44107,PO261177749,10-4020-000647,647,277,16185.44,486.07,16671.51
44108,20-09-2017,27-09-2017,27-09-2017,SO44108,PO667110590,10-4020-000365,365,281,2169.04,65.07,2234.11
44109,20-09-2017,27-09-2017,25-09-2017,SO44109,PO783112882,10-4020-000091,91,280,13837.1,415.48,14252.58
44110,21-09-2017,28-09-2017,25-09-2017,SO44110,PO1624152036,10-4020-000579,579,277,16667.35,500.21,17167.56
44111,22-09-2017,29-09-2017,03-10-2017,SO44111,PO1740120267,10-4020-000460,460,282,11641.34,349.33,11990.67
44112,22-09-2017,29-09-2017,29-09-2017,SO44112,PO1885183650,10-4020-000588,588,278,32444.84,973.35,33418.19
44113,22-09-2017,29-09-2017,03-10-2017,SO44113,PO2697181021,10-4020-000187,187,276,40510.23,1216.89,41727.12
44114,23-09-2017,29-09-2017,29-09-2017,SO44114,PO3190199320,10-4020-000575,575,275,33478.92,1006.6,34485.52
44115,23-09-2017,29-09-2017,26-09-2017,SO44115,PO3248122509,10-4020-000366,366,276,66848.27,2010.79,68859.06
44116,23-09-2017,29-09-2017,26-09-2017,SO44116,PO4089171650,10-4020-000368,368,279,20351.3,610.51,20961.81
44117,23-09-2017,29-09-2017,27-09-2017,SO44117,PO4408172413,10-4020-000143,143,275,12907.76,387.98,13295.74
44118,23-09-2017,29-09-2017,29-09-2017,SO44118,PO4147180314,10-4020-000222,222,276,3427.42,102.82,3530.24
44119,24-09-2017,29-09-2017,27-09-2017,SO44119,PO4640166555,10-4020-000648,648,281,49096.05,1471.84,50567.89
44120,24-09-2017,29-09-2017,26-09-2017,SO44120,PO5597155510,10-4020-000075,75,277,26967.08,811.56,27778.64
44121,26-09-2017,03-10-2017,28-09-2017,SO44121,PO5220129819,10-4020-000169,169,276,64713.82,1947.71,66661.53
44122,26-09-2017,03-10-2017,29-09-2017,SO44122,PO5307162091,10-4020-000369,369,279,4064.98,121.95,4186.93
44123,26-09-2017,03-10-2017,03-10-2017,SO44123,PO6322187277,10-4020-000503,503,275,874.79,26.24,901.03
44124,27-09-2017,04-10-2017,03-10-2017,SO44124,PO6786110112,10-4020-000003,3,277,15439.07,463.9,15902.97
44125,27-09-2017,04-10-2017,29-09-2017,SO44125,PO6873116192,10-4020-000238,238,277,2604.07,78.08,2682.15
44126,28-09-2017,05-10-2017,02-10-2017,SO44126,PO7192167220,10-4020-000020,20,283,14263.43,427.82,14691.25
44127,28-09-2017,05-10-2017,09-10-2017,SO44127,PO7569162058,10-4020-000608,608,281,91014.6,2740.76,93755.36
44128,28-09-2017,05-10-2017,04-10-2017,SO44128,PO9541192839,10-4020-000279,279,279,18542.17,555.35,19097.52
44129,28-09-2017,05-10-2017,02-10-2017,SO44129,PO9483186106,10-4020-000054,54,275,55699.78,1672.75,57372.53
44130,28-09-2017,05-10-2017,09-10-2017,SO44130,PO9106111486,10-4020-000602,602,279,35410.92,1064.52,36475.44
44131,29-09-2017,06-10-2017,05-10-2017,SO44131,PO9019194963,10-4020-000576,576,275,20514.27,614.54,21128.81
44132,30-09-2017,06-10-2017,06-10-2017,SO44132,PO9570191688,10-4020-000585,585,279,4049.98,121.5,4171.48
44133,30-09-2017,06-10-2017,06-10-2017,SO44133,PO9599144193,10-4020-000170,170,279,25686.51,771.55,26458.06
44280,02-10-2017,09-10-2017,11-10-2017,SO44280,PO20068171578,10-4020-000215,215,275,57.68,1.56,59.24
44281,02-10-2017,09-10-2017,05-10-2017,SO44281,PO18009181739,10-4020-000510,510,276,419.46,12.58,432.04
44282,04-10-2017,11-10-2017,06-10-2017,SO44282,PO18473177808,10-4020-000442,442,282,40341.04,1212.59,41553.63
44283,07-10-2017,13-10-2017,17-10-2017,SO44283,PO18444150042,10-4020-000227,227,282,43749.2848,1321.03,45070.3148
44284,08-10-2017,13-10-2017,16-10-2017,SO44284,PO16588183754,10-4020-000146,146,283,87867.8155,2634.37,90502.1855
44285,08-10-2017,13-10-2017,16-10-2017,SO44285,PO16617120120,10-4020-000397,397,280,57739.6076,1737.61,59477.2176
44286,08-10-2017,13-10-2017,10-10-2017,SO44286,PO16008112311,10-4020-000511,511,276,5538.51,166.16,5704.67
44287,08-10-2017,13-10-2017,11-10-2017,SO44287,PO15428122091,10-4020-000646,646,277,16292.02,488.71,16780.73
44288,09-10-2017,16-10-2017,12-10-2017,SO44288,PO14732190246,10-4020-000514,514,282,43803.21,1319.81,45123.02
44289,09-10-2017,16-10-2017,11-10-2017,SO44289,PO14384127524,10-4020-000504,504,275,4082.08,122.41,4204.49
44290,10-10-2017,17-10-2017,16-10-2017,SO44290,PO14413160229,10-4020-000383,383,281,3846.88,115.41,3962.29
44291,10-10-2017,17-10-2017,12-10-2017,SO44291,PO14123171235,10-4020-000578,578,283,4509.88,139.06,4648.94
44292,10-10-2017,17-10-2017,13-10-2017,SO44292,PO13949179405,10-4020-000643,643,275,3432.61,102.96,3535.57
44293,11-10-2017,18-10-2017,16-10-2017,SO44293,PO13775127212,10-4020-000618,618,275,23983.73,719.39,24703.12
44294,12-10-2017,19-10-2017,23-10-2017,SO44294,PO13862172262,10-4020-000119,119,282,62068.833,1864.59,63933.423
44295,13-10-2017,20-10-2017,18-10-2017,SO44295,PO12760122918,10-4020-000083,83,282,9475.53,284.07,9759.6
44296,13-10-2017,20-10-2017,24-10-2017,SO44296,PO12412194442,10-4020-000670,670,277,32383.13,971.53,33354.66
44297,13-10-2017,20-10-2017,20-10-2017,SO44297,PO11861112978,10-4020-000017,17,275,10231.46,306.76,10538.22
44298,14-10-2017,20-10-2017,18-10-2017,SO44298,PO11049118093,10-4020-000679,679,278,27666.45,830.22,28496.67
44299,14-10-2017,20-10-2017,24-10-2017,SO44299,PO10817117580,10-4020-000203,203,281,31624.75,948.71,32573.46
44300,16-10-2017,23-10-2017,24-10-2017,SO44300,PO10527120063,10-4020-000480,480,278,7802.88,233.87,8036.75
44301,18-10-2017,25-10-2017,27-10-2017,SO44301,PO10730158868,10-4020-000491,491,281,29479.38,885.19,30364.57
44302,19-10-2017,26-10-2017,27-10-2017,SO44302,PO9947118701,10-4020-000603,603,279,2146.96,64.41,2211.37
44303,19-10-2017,26-10-2017,26-10-2017,SO44303,PO10092142501,10-4020-000252,252,275,5.7,0.15,5.85
44304,20-10-2017,27-10-2017,24-10-2017,SO44304,PO10179168311,10-4020-000027,27,279,37499.47,1127.46,38626.93
44305,20-10-2017,27-10-2017,26-10-2017,SO44305,PO522153226,10-4020-000676,676,279,18880.6376,567.14,19447.7776
44306,22-10-2017,27-10-2017,26-10-2017,SO44306,PO1189114917,10-4020-000423,423,279,18648.7,558.76,19207.46
44307,23-10-2017,30-10-2017,01-11-2017,SO44307,PO1566191208,10-4020-000486,486,275,7758.14,232.35,7990.49
44308,23-10-2017,30-10-2017,25-10-2017,SO44308,PO2552158889,10-4020-000506,506,283,12372.77,370.41,12743.18
44309,23-10-2017,30-10-2017,31-10-2017,SO44309,PO3393112350,10-4020-000549,549,279,27612.41,828.43,28440.84
44310,26-10-2017,02-11-2017,06-11-2017,SO44310,PO4176199014,10-4020-000458,458,279,183.94,5.67,189.61
44311,26-10-2017,02-11-2017,03-11-2017,SO44311,PO4959115826,10-4020-000269,269,275,7349.96,221.28,7571.24
44312,26-10-2017,02-11-2017,30-10-2017,SO44312,PO5075136657,10-4020-000344,344,283,2097.3,62.92,2160.22
44313,27-10-2017,03-11-2017,02-11-2017,SO44313,PO5365138960,10-4020-000161,161,275,26037.01,782.47,26819.48
44314,27-10-2017,03-11-2017,03-11-2017,SO44314,PO5626111923,10-4020-000166,166,277,42088.82,1267.11,43355.93
44315,27-10-2017,03-11-2017,01-11-2017,SO44315,PO6409154434,10-4020-000292,292,277,2597.04,77.78,2674.82
44316,28-10-2017,03-11-2017,07-11-2017,SO44316,PO6235117320,10-4020-000431,431,275,3785.52,113.53,3899.05
44317,30-10-2017,06-11-2017,03-11-2017,SO44317,PO7859142280,10-4020-000221,221,281,33919.18,1019.24,34938.42
44318,30-10-2017,06-11-2017,06-11-2017,SO44318,PO8120137646,10-4020-000485,485,275,21090.7278,633.12,21723.8478
44319,30-10-2017,06-11-2017,08-11-2017,SO44319,PO9657142761,10-4020-000315,315,279,34250.31,1027.77,35278.08
44481,01-11-2017,08-11-2017,06-11-2017,SO44481,PO609189211,10-4020-000492,492,276,26367.35,790.94,27158.29
44482,01-11-2017,08-11-2017,08-11-2017,SO44482,PO20300189443,10-4020-000129,129,277,419.46,12.58,432.04
44483,01-11-2017,08-11-2017,06-11-2017,SO44483,PO19981138202,10-4020-000271,271,280,3018.34,90.52,3108.86
44484,01-11-2017,08-11-2017,09-11-2017,SO44484,PO19691173790,10-4020-000353,353,282,8184.86,245.43,8430.29
44485,02-11-2017,09-11-2017,10-11-2017,SO44485,PO20242116788,10-4020-000390,390,278,4049.98,121.5,4171.48
44486,03-11-2017,10-11-2017,13-11-2017,SO44486,PO19430111880,10-4020-000318,318,278,603.4,18.26,621.66
44487,03-11-2017,10-11-2017,14-11-2017,SO44487,PO19923199875,10-4020-000018,18,275,41868.83,1258.73,43127.56
44488,03-11-2017,10-11-2017,08-11-2017,SO44488,PO19546136242,10-4020-000206,206,279,32857.4,985.59,33842.99
44489,03-11-2017,10-11-2017,13-11-2017,SO44489,PO18908177526,10-4020-000164,164,283,10288.223,308.52,10596.743
44490,04-11-2017,10-11-2017,14-11-2017,SO44490,PO19227160482,10-4020-000210,210,278,3389.71,101.59,3491.3
